start,end,schedule,location,user_id
2021-11-20 13:00,2021-11-20 16:00,趣味・娯楽,自宅外,13
2021-11-21 11:00,2021-11-21 17:00,交際・つきあい,自宅,13
2021-11-21 17:00,2021-11-21 19:00,交際・つきあい,自宅外,13
2021-11-21 20:00,2021-11-21 21:00,育児,自宅,13
2021-11-22 08:00,2021-11-22 16:00,仕事,自宅,13
2021-11-22 16:00,2021-11-22 17:00,育児,自宅外,13
2021-11-24 07:00,2021-11-24 08:00,仕事,自宅外,13
2021-11-24 08:00,2021-11-24 16:00,仕事,自宅外,13
2021-11-24 16:00,2021-11-24 17:00,育児,自宅外,13
2021-11-25 16:00,2021-11-25 17:00,育児,自宅外,13
2021-11-26 16:00,2021-11-26 17:00,育児,自宅外,13
2021-11-15 13:30,2021-11-15 16:30,学業,自宅外,9
2021-11-16 10:00,2021-11-16 17:00,学業,自宅外,9
2021-11-16 18:00,2021-11-16 20:00,交際・つきあい,自宅外,9
2021-11-17 10:00,2021-11-17 16:30,学業,自宅外,9
2021-11-17 18:10,2021-11-17 21:20,仕事,自宅外,9
2021-11-18 10:00,2021-11-18 15:00,学業,自宅外,9
2021-11-18 16:00,2021-11-18 20:00,趣味・娯楽,自宅外,9
2021-11-19 10:00,2021-11-19 17:00,学業,自宅外,9
2021-11-19 18:30,2021-11-19 20:30,交際・つきあい,自宅外,9
2021-11-20 09:00,2021-11-20 18:45,仕事,自宅外,9
2021-11-04 15:00,2021-11-04 18:30,学業,自宅外,3
2021-11-04 21:00,2021-11-05 00:00,仕事,自宅外,3
2021-11-05 10:30,2021-11-05 19:30,学業,自宅外,3
2021-11-05 21:00,2021-11-06 00:00,仕事,自宅外,3
2021-11-06 11:00,2021-11-06 22:00,学業,自宅外,3
2021-11-07 11:30,2021-11-07 13:15,学業,自宅,3
2021-11-07 15:00,2021-11-07 18:00,学業,自宅,3
2021-11-07 20:30,2021-11-07 23:45,学業,自宅,3
2021-11-08 09:30,2021-11-08 16:00,学業,自宅外,3
2021-11-08 17:00,2021-11-08 21:00,学業,自宅外,3
2021-11-09 10:30,2021-11-09 22:00,学業,自宅外,3
2021-11-10 10:00,2021-11-10 12:00,スポーツ,自宅外,3
2021-11-10 13:30,2021-11-10 16:00,学業,自宅外,3
2021-11-07 13:15,2021-11-07 17:40,仕事,自宅外,4
2021-11-08 09:00,2021-11-08 10:30,スポーツ,自宅外,4
2021-11-08 11:00,2021-11-08 12:30,学業,自宅外,4
2021-11-08 13:00,2021-11-08 16:30,学業,自宅外,4
2021-11-08 18:00,2021-11-08 20:00,仕事,自宅外,4
2021-11-09 12:00,2021-11-09 18:00,学業,自宅,4
2021-11-10 10:45,2021-11-10 12:15,学業,自宅外,4
2021-11-10 13:00,2021-11-10 14:30,スポーツ,自宅外,4
2021-11-10 15:15,2021-11-10 17:15,交際・つきあい,自宅外,4
2021-11-11 12:00,2021-11-11 17:00,学業,自宅外,4
2021-11-11 18:00,2021-11-11 20:00,交際・つきあい,自宅外,4
2021-11-12 12:00,2021-11-12 16:30,学業,自宅外,4
2021-11-12 18:00,2021-11-12 20:00,仕事,自宅外,4
2021-11-13 11:30,2021-11-13 20:30,仕事,自宅外,4
2021-11-25 17:00,2021-11-25 21:40,仕事,自宅外,16
2021-11-26 09:00,2021-11-26 13:00,移動,自宅外,16
2021-11-26 14:00,2021-11-26 15:00,趣味・娯楽,自宅外,16
2021-11-26 15:00,2021-11-26 16:00,仕事,自宅外,16
2021-11-26 16:30,2021-11-26 18:30,趣味・娯楽,自宅外,16
2021-11-27 14:00,2021-11-27 15:00,趣味・娯楽,自宅外,16
2021-11-27 15:00,2021-11-27 19:00,移動,自宅外,16
2021-11-28 14:00,2021-11-28 15:00,趣味・娯楽,自宅外,16
2021-11-28 17:00,2021-11-28 21:00,仕事,自宅外,16
2021-11-29 10:30,2021-11-29 12:30,身の回りの用事,自宅外,16
2021-11-29 14:00,2021-11-29 15:00,趣味・娯楽,自宅外,16
2021-11-29 17:00,2021-11-29 20:00,仕事,自宅外,16
2021-11-30 06:30,2021-11-30 14:00,仕事,自宅外,16
2021-11-30 14:30,2021-11-30 15:30,趣味・娯楽,自宅外,16
2021-12-01 14:00,2021-12-01 15:00,趣味・娯楽,自宅外,16
2021-12-01 17:00,2021-12-01 20:00,仕事,自宅外,16
2021-11-25 06:00,2021-11-25 07:50,家事,自宅,15
2021-11-25 08:00,2021-11-25 15:30,仕事,自宅外,15
2021-11-25 15:30,2021-11-25 16:30,買い物,自宅外,15
2021-11-25 18:00,2021-11-25 19:00,家事,自宅外,15
2021-11-26 06:00,2021-11-26 10:00,家事,自宅,15
2021-11-26 15:30,2021-11-26 16:30,仕事,自宅外,15
2021-11-26 18:00,2021-11-26 19:00,家事,自宅外,15
2021-11-27 07:30,2021-11-27 08:30,家事,自宅,15
2021-11-27 12:00,2021-11-27 13:00,家事,自宅,15
2021-11-27 17:00,2021-11-27 18:00,家事,自宅外,15
2021-11-28 06:00,2021-11-28 07:50,家事,自宅,15
2021-11-28 09:00,2021-11-28 13:00,家事,自宅外,15
2021-11-28 14:30,2021-11-28 15:00,スポーツ,自宅外,15
2021-11-28 19:00,2021-11-28 20:00,家事,自宅外,15
2021-11-29 06:00,2021-11-29 07:50,家事,自宅,15
2021-11-29 19:00,2021-11-29 20:00,家事,自宅外,15
2021-11-30 06:00,2021-11-30 07:50,家事,自宅,15
2021-11-30 19:00,2021-11-30 20:00,家事,自宅外,15
2021-12-01 06:00,2021-12-01 07:50,家事,自宅,15
2021-12-01 08:00,2021-12-01 13:00,仕事,自宅外,15
2021-12-01 19:00,2021-12-01 20:00,家事,自宅外,15
2021-11-04 14:00,2021-11-04 19:00,仕事,自宅外,2
2021-11-05 13:30,2021-11-05 14:30,仕事,自宅外,2
2021-11-06 18:15,2021-11-06 19:50,仕事,自宅外,2
